extracted_percentages,created_at,in_progress_at,finalizing_at,completed_at,requests
,2025-01-14 14:22:28,2025-01-14 14:22:36,2025-01-15 07:53:08,2025-01-15 08:44:12,20000.0
0.0,,,,,
0.03,,,,,
0.49,,,,,
0.95,,,,,
0.97,,,,,
0.97,,,,,
0.99,,,,,
1.0,,,,,
,2025-01-15 08:53:06,2025-01-15 08:53:17,2025-01-15 12:24:37,2025-01-15 13:18:01,20000.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-15 13:23:19,2025-01-15 13:23:28,2025-01-16 13:23:25,2025-01-16 14:25:47,20000.0
0.5,,,,,
0.97,,,,,
1.0,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-16 16:41:00,2025-01-16 16:41:09,2025-01-16 18:05:14,2025-01-16 19:19:27,20000.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.28,,,,,
0.99,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-16 19:41:25,2025-01-16 19:41:32,2025-01-16 22:48:49,2025-01-16 23:26:19,20000.0
0.6,,,,,
0.99,,,,,
0.99,,,,,
1.0,,,,,
,2025-01-16 23:41:47,2025-01-16 23:41:52,2025-01-17 01:19:59,2025-01-17 01:57:45,20000.0
0.55,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-17 02:12:06,2025-01-17 02:12:14,2025-01-17 03:17:18,2025-01-17 04:08:13,20000.0
0.34,,,,,
0.66,,,,,
0.95,,,,,
0.99,,,,,
0.99,,,,,
0.99,,,,,
1.0,,,,,
,2025-01-17 04:12:24,2025-01-17 04:12:32,2025-01-17 07:13:05,2025-01-17 07:59:37,20000.0
0.65,,,,,
0.99,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-17 08:12:43,2025-01-17 08:12:47,2025-01-17 09:42:04,2025-01-17 10:19:23,20000.0
0.25,,,,,
0.51,,,,,
0.75,,,,,
1.0,,,,,
1.0,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-17 10:42:52,2025-01-17 10:42:59,2025-01-17 13:17:26,2025-01-17 14:30:07,20000.0
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.0,,,,,
0.17,,,,,
0.79,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-17 14:43:07,2025-01-17 14:43:14,2025-01-17 18:11:57,2025-01-17 18:52:04,20000.0
0.39,,,,,
0.73,,,,,
0.91,,,,,
0.99,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-17 19:13:20,2025-01-17 19:13:25,2025-01-17 21:17:13,2025-01-17 22:16:08,20000.0
0.45,,,,,
0.97,,,,,
1.0,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-17 22:43:33,2025-01-17 22:43:38,2025-01-18 00:32:56,2025-01-18 01:26:50,20000.0
0.3,,,,,
0.54,,,,,
0.93,,,,,
0.93,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-18 01:43:47,2025-01-18 01:43:54,2025-01-18 04:00:12,2025-01-18 05:12:26,20000.0
0.34,,,,,
0.68,,,,,
1.0,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-18 05:13:59,2025-01-18 05:14:06,2025-01-18 06:49:03,2025-01-18 07:44:29,20000.0
0.51,,,,,
0.96,,,,,
0.99,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-18 08:14:11,2025-01-18 08:14:20,2025-01-18 10:06:12,2025-01-18 11:00:36,20000.0
0.67,,,,,
0.94,,,,,
1.0,,,,,
,2025-01-18 11:14:27,2025-01-18 11:14:34,2025-01-18 12:28:42,2025-01-18 12:51:38,20000.0
0.56,,,,,
0.95,,,,,
0.98,,,,,
1.0,,,,,
,2025-01-18 13:14:38,2025-01-18 13:14:45,2025-01-18 14:57:35,2025-01-18 15:34:29,20000.0
0.68,,,,,
0.96,,,,,
1.0,,,,,
1.0,,,,,
,2025-01-18 15:44:52,2025-01-18 15:44:57,2025-01-18 17:21:15,2025-01-18 17:45:32,20000.0
