Year,ODA,OOF,Private
2014,3011.477447,811.265612,3.874684
2015,2772.280895,856.077524,17.492181
2016,5222.55797800001,554.051392,19.820784
2017,5065.840055,849.97539,25.19095
2018,5553.32501,731.076499,21.921947
2019,4524.329293,1935.466648,32.872298
2020,4757.446398,1953.065049,21.866355
2021,9907.10973099998,990.328555,25.39554
2022,18997.485044,1477.201563,16.024529
2023,18111.520824,1146.186546,278.949152
